ksic_code,ksic_name,kapp_industry_tag,industry_label_ko,primary_jf_code,secondary_jf_codes,ib_scenario_key,mapping_method,review_status
10892,차류 가공업,MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
10893,수프 및 균질화식품 제조업,MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
10894,두부 및 유사식품 제조업,MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
10895,인삼식품 제조업,MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
10896,건강보조용 액화식품 제조업,MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
10897,건강기능식품 제조업,MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
10899,그 외 기타 식료품 제조업,MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
10901,반려동물용 사료 제조업,MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
10902,배합 사료 제조업,MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
10903,단미사료 및 기타 사료 제조업,MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
11111,탁주 및 약주 제조업,MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
11112,맥아 및 맥주 제조업,MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
11119,기타 발효주 제조업,MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
11121,주정 제조업,MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
11122,소주 제조업,MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
11129,기타 증류주 및 합성주 제조업,MANUFACTURING,제조업,JF_MFG_01,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
11201,얼음 제조업,MANUFACTURING,제조업,JF_MFG_11,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
11202,생수 생산업,MANUFACTURING,제조업,JF_MFG_11,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
11209,기타 비알코올 음료 제조업,MANUFACTURING,제조업,JF_MFG_11,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
12000,담배제품 제조업,MANUFACTURING,제조업,JF_MFG_11,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
13101,면 방적업,MANUFACTURING,제조업,JF_MFG_12,"JF_MFG_02,JF_MFG_05,JF_MFG_06,JF_MFG_09,JF_MFG_03",MANUFACTURING,industry_rule,confirmed
